expense_id,employee_id,category,amount,approval_status,date,project_id
EXP-0001,EMP-0104,travel,6200,approved,2026-04-22,PRJ-004
EXP-0002,EMP-0243,client_entertainment,30079,rejected,2026-04-22,PRJ-029
EXP-0003,EMP-0176,software,22661,submitted,2026-04-02,PRJ-025
EXP-0004,EMP-0049,software,26636,approved,2026-02-28,PRJ-008
EXP-0005,EMP-0187,software,14040,approved,2026-05-31,PRJ-017
EXP-0006,EMP-0044,meals,24224,approved,2026-04-07,PRJ-029
EXP-0007,EMP-0164,client_entertainment,35244,approved,2026-06-02,PRJ-002
EXP-0008,EMP-0170,meals,43032,approved,2026-01-13,PRJ-023
EXP-0009,EMP-0030,transport,29318,submitted,2026-02-01,PRJ-018
EXP-0010,EMP-0065,office_supplies,46197,pending,2026-02-22,PRJ-023
EXP-0011,EMP-0176,travel,19933,submitted,2026-06-19,PRJ-004
EXP-0012,EMP-0170,telecom,17893,pending,2026-04-18,PRJ-027
EXP-0013,EMP-0231,meals,33727,approved,2026-03-14,PRJ-004
EXP-0014,EMP-0201,meals,32819,pending,2026-06-05,PRJ-007
EXP-0015,EMP-0200,client_entertainment,34484,pending,2026-04-02,PRJ-023
EXP-0016,EMP-0105,client_entertainment,10710,approved,2026-05-21,PRJ-016
EXP-0017,EMP-0234,hardware,45302,submitted,2026-03-26,PRJ-008
EXP-0018,EMP-0001,travel,44216,approved,2026-01-29,PRJ-027
EXP-0019,EMP-0147,office_supplies,9974,approved,2026-07-19,PRJ-017
EXP-0020,EMP-0020,meals,16970,pending,2026-04-27,PRJ-010
EXP-0021,EMP-0068,office_supplies,3482,approved,2026-07-28,PRJ-006
EXP-0022,EMP-0224,travel,19242,rejected,2026-07-25,PRJ-022
EXP-0023,EMP-0081,transport,48600,approved,2026-01-25,PRJ-028
EXP-0024,EMP-0195,travel,833,pending,2026-06-19,PRJ-021
EXP-0025,EMP-0044,training,23630,submitted,2026-06-09,PRJ-009
EXP-0026,EMP-0225,meals,24620,rejected,2026-02-16,PRJ-004
EXP-0027,EMP-0103,transport,30119,rejected,2026-04-09,PRJ-023
EXP-0028,EMP-0218,office_supplies,27839,pending,2026-01-29,PRJ-005
EXP-0029,EMP-0179,travel,10646,approved,2026-04-17,PRJ-030
EXP-0030,EMP-0152,office_supplies,37486,submitted,2026-02-16,PRJ-020
EXP-0031,EMP-0098,training,40265,approved,2026-06-25,PRJ-029
EXP-0032,EMP-0215,software,31859,submitted,2026-01-29,PRJ-029
EXP-0033,EMP-0106,office_supplies,3212,approved,2026-03-08,PRJ-021
EXP-0034,EMP-0081,travel,46374,pending,2026-06-21,PRJ-028
EXP-0035,EMP-0087,telecom,34482,approved,2026-04-21,PRJ-022
EXP-0036,EMP-0187,hardware,31783,rejected,2026-06-19,PRJ-022
EXP-0037,EMP-0165,transport,9942,approved,2026-01-03,PRJ-021
EXP-0038,EMP-0240,software,33332,submitted,2026-05-07,PRJ-028
EXP-0039,EMP-0043,meals,49445,submitted,2026-03-24,PRJ-008
EXP-0040,EMP-0085,client_entertainment,3499,pending,2026-05-21,PRJ-021
EXP-0041,EMP-0097,transport,15600,approved,2026-04-28,PRJ-015
EXP-0042,EMP-0206,miscellaneous,29566,approved,2026-05-08,PRJ-015
EXP-0043,EMP-0081,meals,32795,approved,2026-01-27,PRJ-013
EXP-0044,EMP-0106,travel,36712,approved,2026-01-24,PRJ-026
EXP-0045,EMP-0155,miscellaneous,41981,rejected,2026-05-11,PRJ-018
EXP-0046,EMP-0053,office_supplies,22538,rejected,2026-01-14,PRJ-027
EXP-0047,EMP-0058,office_supplies,21956,submitted,2026-07-03,PRJ-022
EXP-0048,EMP-0094,office_supplies,7672,approved,2026-07-14,PRJ-022
EXP-0049,EMP-0057,travel,22571,rejected,2026-06-12,PRJ-026
EXP-0050,EMP-0075,telecom,34408,rejected,2026-06-29,PRJ-004
EXP-0051,EMP-0012,software,32471,pending,2026-07-30,PRJ-023
EXP-0052,EMP-0191,transport,7209,rejected,2026-06-06,PRJ-007
EXP-0053,EMP-0049,meals,25948,pending,2026-04-28,PRJ-027
EXP-0054,EMP-0201,hardware,47175,rejected,2026-01-28,PRJ-025
EXP-0055,EMP-0107,travel,41700,approved,2026-07-17,PRJ-029
EXP-0056,EMP-0116,office_supplies,43352,pending,2026-05-08,PRJ-001
EXP-0057,EMP-0136,travel,36456,submitted,2026-05-30,PRJ-016
EXP-0058,EMP-0237,telecom,11813,pending,2026-07-07,PRJ-027
EXP-0059,EMP-0033,meals,25589,rejected,2026-05-10,PRJ-029
EXP-0060,EMP-0099,transport,40111,pending,2026-03-12,PRJ-013
EXP-0061,EMP-0247,training,19478,submitted,2026-07-26,PRJ-005
EXP-0062,EMP-0036,transport,39687,rejected,2026-06-29,PRJ-018
EXP-0063,EMP-0221,training,46853,pending,2026-02-21,PRJ-007
EXP-0064,EMP-0160,client_entertainment,45197,rejected,2026-06-22,PRJ-005
EXP-0065,EMP-0182,software,33223,rejected,2026-07-01,PRJ-004
EXP-0066,EMP-0195,training,37049,submitted,2026-05-30,PRJ-019
EXP-0067,EMP-0242,transport,44387,rejected,2026-04-19,PRJ-026
EXP-0068,EMP-0004,telecom,7177,approved,2026-04-08,PRJ-005
EXP-0069,EMP-0014,travel,13300,rejected,2026-07-12,PRJ-026
EXP-0070,EMP-0042,client_entertainment,44986,rejected,2026-02-07,PRJ-027
EXP-0071,EMP-0016,client_entertainment,13569,approved,2026-04-02,PRJ-027
EXP-0072,EMP-0116,meals,40577,pending,2026-07-10,PRJ-021
EXP-0073,EMP-0144,transport,15771,rejected,2026-06-27,PRJ-022
EXP-0074,EMP-0013,transport,25598,submitted,2026-07-21,PRJ-022
EXP-0075,EMP-0081,telecom,3725,approved,2026-07-10,PRJ-009
EXP-0076,EMP-0052,miscellaneous,29236,pending,2026-06-12,PRJ-023
EXP-0077,EMP-0182,training,49686,pending,2026-07-18,PRJ-024
EXP-0078,EMP-0247,hardware,19479,submitted,2026-02-15,PRJ-022
EXP-0079,EMP-0020,software,11589,approved,2026-04-07,PRJ-002
EXP-0080,EMP-0110,client_entertainment,36677,rejected,2026-02-03,PRJ-006
EXP-0081,EMP-0150,client_entertainment,569,rejected,2026-04-30,PRJ-023
EXP-0082,EMP-0240,software,2817,pending,2026-03-24,PRJ-020
EXP-0083,EMP-0014,miscellaneous,43577,rejected,2026-05-06,PRJ-026
EXP-0084,EMP-0147,telecom,23667,approved,2026-07-20,PRJ-023
EXP-0085,EMP-0082,telecom,14615,pending,2026-05-14,PRJ-003
EXP-0086,EMP-0202,telecom,10644,submitted,2026-05-20,PRJ-018
EXP-0087,EMP-0104,meals,23098,pending,2026-02-24,PRJ-022
EXP-0088,EMP-0085,training,23845,rejected,2026-02-25,PRJ-025
EXP-0089,EMP-0159,telecom,31320,approved,2026-01-30,PRJ-022
EXP-0090,EMP-0089,office_supplies,15951,pending,2026-01-11,PRJ-022
EXP-0091,EMP-0227,training,25193,approved,2026-04-09,PRJ-009
EXP-0092,EMP-0139,client_entertainment,1819,rejected,2026-05-12,PRJ-026
EXP-0093,EMP-0131,office_supplies,32103,approved,2026-03-17,PRJ-029
EXP-0094,EMP-0167,hardware,21192,approved,2026-01-25,PRJ-006
EXP-0095,EMP-0249,telecom,35144,approved,2026-06-10,PRJ-003
EXP-0096,EMP-0054,hardware,45118,submitted,2026-01-27,PRJ-007
EXP-0097,EMP-0138,transport,42573,approved,2026-07-11,PRJ-022
EXP-0098,EMP-0040,travel,30295,rejected,2026-01-10,PRJ-003
EXP-0099,EMP-0019,travel,11864,rejected,2026-05-23,PRJ-003
EXP-0100,EMP-0148,hardware,17150,submitted,2026-04-10,PRJ-015
EXP-0101,EMP-0162,transport,28578,rejected,2026-01-05,PRJ-013
EXP-0102,EMP-0173,meals,35250,approved,2026-06-14,PRJ-024
EXP-0103,EMP-0159,meals,49742,approved,2026-06-29,PRJ-028
EXP-0104,EMP-0019,training,33153,approved,2026-03-16,PRJ-026
EXP-0105,EMP-0176,client_entertainment,39951,approved,2026-03-14,PRJ-025
EXP-0106,EMP-0238,office_supplies,25196,submitted,2026-07-30,PRJ-022
EXP-0107,EMP-0008,office_supplies,10444,pending,2026-02-04,PRJ-024
EXP-0108,EMP-0101,telecom,19531,pending,2026-03-18,PRJ-022
EXP-0109,EMP-0228,training,930,pending,2026-02-01,PRJ-002
EXP-0110,EMP-0002,miscellaneous,39302,submitted,2026-05-18,PRJ-018
EXP-0111,EMP-0243,meals,20168,pending,2026-07-11,PRJ-024
EXP-0112,EMP-0232,training,14076,submitted,2026-06-15,PRJ-028
EXP-0113,EMP-0132,software,10748,pending,2026-02-26,PRJ-020
