invoice_id,customer,amount,currency,invoice_date,due_date,payment_status,project_id
INV-2026-0108,Bluewave Cloud Services,218300,INR,2026-05-10,2026-06-10,paid,PRJ-003
INV-202602-0109,Dabur,874015,AED,2026-02-04,2026-03-06,pending,PRJ-005
INV-202605-0110,Godrej,473708,USD,2026-05-20,2026-06-19,paid,PRJ-014
INV-202601-0111,Sun Pharma,1931056,INR,2026-01-27,2026-02-26,pending,PRJ-030
INV-202603-0112,Horizon Retail,1015622,AED,2026-03-23,2026-04-22,overdue,PRJ-005
INV-202602-0113,Razorpay,936810,AED,2026-02-23,2026-03-25,overdue,PRJ-001
INV-202602-0114,Nike India,1718285,INR,2026-02-05,2026-03-07,pending,PRJ-023
INV-202602-0115,ICICI Bank,654723,USD,2026-02-05,2026-03-07,paid,PRJ-014
INV-202601-0116,Raymond,1610176,INR,2026-01-01,2026-01-31,draft,PRJ-025
INV-202601-0117,Tech Mahindra,99164,USD,2026-01-02,2026-02-01,paid,PRJ-016
INV-202601-0118,Reliance Digital,1915324,AED,2026-01-03,2026-02-02,overdue,PRJ-022
INV-202601-0119,ACME Manufacturing,1592406,INR,2026-01-20,2026-02-19,pending,PRJ-019
INV-202601-0120,Amazon India,397515,AED,2026-01-03,2026-02-02,pending,PRJ-028
INV-202605-0121,Nike India,1985192,AED,2026-05-12,2026-06-11,overdue,PRJ-006
INV-202605-0122,Freshworks,1059906,USD,2026-05-19,2026-06-18,paid,PRJ-004
INV-202605-0123,Razorpay,1222434,INR,2026-05-07,2026-06-06,pending,PRJ-010
INV-202606-0124,Oracle Retail,1900918,INR,2026-06-04,2026-07-04,pending,PRJ-030
INV-202603-0125,Godrej,1795298,SGD,2026-03-23,2026-04-22,pending,PRJ-015
INV-202603-0126,ITC Limited,235075,USD,2026-03-13,2026-04-12,draft,PRJ-007
INV-202601-0127,Godrej,487215,SGD,2026-01-25,2026-02-24,overdue,PRJ-004
INV-202604-0128,Sun Pharma,241349,USD,2026-04-25,2026-05-25,overdue,PRJ-023
INV-202601-0129,Jio Platforms,1178390,INR,2026-01-11,2026-02-10,draft,PRJ-004
INV-202605-0130,Asian Paints,604776,SGD,2026-05-24,2026-06-23,overdue,PRJ-022
INV-202605-0131,CRED,941042,USD,2026-05-14,2026-06-13,overdue,PRJ-028
